,disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Genre
871,1,206333,True,1s9DTymg5UQrdorZf43JQm,False,True,Fell In Luv (feat. Bryson Tiller),78,10,track,album,Die Lit,2018,0.657,0.668,2,-6.208,1,0.136,0.0273,0.0,0.32,0.227,162.997,Hot 100
876,1,258266,False,3RiPr603aXAoi4GHyXx0uy,False,True,Hymn for the Weekend,85,3,track,album,A Head Full of Dreams,2015,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,Hot 100
877,1,262693,True,1wHZx0LgzFHyeIZkUydNXq,False,True,Antidote,74,9,track,album,Rodeo (Expanded Edition),2015,0.713,0.526,1,-5.046,1,0.032,0.00767,0.000148,0.124,0.131,131.05,Hot 100
878,1,275280,False,4h0zU3O9R5xzuTmNO7dNDU,False,True,Lost Boy,74,1,track,single,Lost Boy,2015,0.71,0.0565,7,-15.099,1,0.0534,0.965,0.0,0.0889,0.348,123.994,Hot 100
879,1,207761,False,6ZtiywT2Qm50a1uR0jlY35,False,True,"Sit Still, Look Pretty",69,8,track,album,"Sit Still, Look Pretty",2016,0.846,0.734,2,-3.601,1,0.108,0.286,8.27e-05,0.425,0.717,90.98,Hot 100
884,1,212946,True,5mPSyjLatqB00IkPqRlbTE,False,True,Pop Style,64,15,track,album,Views,2016,0.713,0.462,7,-10.027,1,0.123,0.192,2.16e-06,0.105,0.0594,133.053,Hot 100
885,1,290900,False,7GgWAITsYJaRM3r50rfh5w,False,True,When We Were Young,75,4,track,album,25,2015,0.376,0.595,3,-5.936,1,0.0496,0.303,0.0,0.095,0.265,144.361,Hot 100
886,1,191368,False,7fPyCCiXVwbzPQ1MtoUChl,False,True,Hide Away,63,6,track,album,"Sit Still, Look Pretty",2016,0.884,0.826,11,-3.672,0,0.0853,0.222,2.29e-06,0.0651,0.465,94.997,Hot 100
891,1,223853,False,2GyA33q5rti5IxkMQemRDH,False,True,I Know What You Did Last Summer,74,13,track,album,Handwritten,2015,0.687,0.761,9,-4.582,0,0.0876,0.102,0.0,0.147,0.743,113.939,Hot 100
896,1,201253,True,6dlpABcXrQKRU9G00i6Zba,False,True,Back To Sleep,63,1,track,album,Royalty (Deluxe Version),2015,0.647,0.646,9,-5.483,0,0.243,0.0424,0.0,0.0888,0.721,92.981,Hot 100
897,1,222600,True,376KnY4TrgBITxjlnbnmIy,False,True,Cut It (feat. Young Dolph),60,1,track,single,Cut It (feat. Young Dolph),2015,0.875,0.673,7,-4.184,1,0.0932,0.135,0.0,0.292,0.231,130.0,Hot 100
898,1,246652,False,7mykoq6R3BArsSpNDjFQTm,False,True,I Really Want to Stay at Your House,86,5,track,compilation,"Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)",2020,0.49,0.738,3,-7.399,0,0.0367,0.00237,4.58e-06,0.0851,0.126,124.966,Hot 100
899,1,210573,False,7nD9nN3jord9wWcfW3Gkcm,False,True,All In My Head (Flex) (feat. Fetty Wap),63,6,track,album,7/27 (Deluxe),2016,0.689,0.791,0,-5.194,0,0.053,0.023,0.0,0.0526,0.755,95.04,Hot 100
900,1,263786,False,4BkbS6V1UGVRqDLXM6JaLs,False,True,Adventure of a Lifetime,0,20,track,compilation,Back to School!,2022,0.638,0.924,7,-3.887,1,0.036,0.00205,0.000175,0.149,0.53,111.995,Hot 100
901,1,259266,False,4Pn0JlCUusD2QHjADuOzuV,False,True,Humble And Kind,69,11,track,album,Damn Country Music,2015,0.355,0.48,11,-7.31,1,0.0282,0.679,2.28e-06,0.12,0.137,100.956,Hot 100
902,1,175493,False,3Pzh926pXggbMe2ZpXyMV7,False,True,Ain't No Rest for the Wicked,74,3,track,album,Cage The Elephant (Expanded Edition),2009,0.636,0.849,0,-7.075,1,0.106,0.0438,0.0,0.372,0.917,156.036,Hot 100
903,1,239853,True,3NJG6vMH1ZsectZkocMEm0,False,True,Tiimmy Turner,70,1,track,single,Tiimmy Turner,2016,0.603,0.725,6,-3.054,1,0.0393,0.174,0.0,0.0786,0.304,122.803,Hot 100
908,1,269666,True,32OlwWuMpZ6b0aN2RZOeMS,False,True,Uptown Funk (feat. Bruno Mars),84,4,track,album,Uptown Special,2015,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,Hot 100
909,1,281560,False,34gCuhDGsG4bRPIf9bb02f,False,True,Thinking out Loud,84,11,track,album,x (Deluxe Edition),2014,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,Hot 100
910,1,222093,True,2d8JP84HNLKhmd6IYOoupQ,False,True,Trap Queen,75,1,track,album,Fetty Wap (Deluxe),2015,0.746,0.873,7,-3.803,1,0.128,0.0244,0.0,0.354,0.817,148.075,Hot 100
915,1,231826,False,1p80LdxRV74UKvL8gnD7ky,False,True,Blank Space,76,2,track,album,1989,2014,0.753,0.678,5,-5.421,1,0.0644,0.085,1.64e-06,0.13,0.583,96.006,Hot 100
916,1,277680,True,4frLb7nWtsz2ymBE6k2GRP,False,True,Earned It (Fifty Shades Of Grey),76,9,track,album,Beauty Behind The Madness,2015,0.659,0.291,2,-8.275,0,0.0348,0.405,0.0,0.0771,0.406,119.829,Hot 100
917,1,180560,False,023OVLNzXhX0j7CxswUt6D,False,True,Cheerleader - Felix Jaehn Remix Radio Edit,68,1,track,album,Me 4 U,2015,0.78,0.68,4,-6.081,1,0.0305,0.141,1.2e-05,0.138,0.594,118.026,Hot 100
918,1,253520,False,0Cy7wt6IlRfBPHXXjmZbcP,False,True,Love Me Like You Do,80,17,track,compilation,Fifty Shades Freed (Original Motion Picture Soundtrack),2018,0.489,0.597,5,-6.633,0,0.0292,0.27,0.0,0.105,0.324,95.012,Hot 100
919,1,241693,False,1CS7Sd1u5tWkstBhpssyjP,False,True,Take Me to Church,77,1,track,album,Hozier (Expanded Edition),2014,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,Hot 100
920,1,211933,False,273dCMFseLcVsoSWx59IoE,False,True,Bad Blood,68,8,track,album,1989,2014,0.65,0.802,7,-6.114,1,0.181,0.0871,6.54e-06,0.148,0.295,170.146,Hot 100
921,1,588139,True,3EG9FJ0ToLfgnc1IG2Z1wz,False,True,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),77,10,track,album,CALL ME IF YOU GET LOST,2021,0.468,0.652,0,-4.912,1,0.0722,0.333,0.000318,0.55,0.39,140.223,Hot 100
926,1,250285,False,66hayvUbTotekKU3H4ta1f,False,True,Where Are Ü Now (with Justin Bieber),75,9,track,album,Skrillex and Diplo present Jack Ü,2015,0.432,0.781,4,-4.038,0,0.0567,0.041,4.21e-06,0.0789,0.197,139.432,Hot 100
