,disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Genre
112,1,274453,False,5NnQpVPJKpFdGFkIdY1Gds,False,True,My Own Soul’s Warning,60,1,track,album,Imploding The Mirage,2020,0.355,0.963,7,-3.482,1,0.132,0.00133,0.00252,0.0859,0.0923,152.05,Alternative
113,1,218533,False,4jFLw7QqWlv3lZr980HyYW,False,True,how will i rest in peace if i'm buried by a highway?//,58,1,track,single,how will i rest in peace if i'm buried by a highway?//,2020,0.479,0.844,1,-4.338,0,0.0819,0.0134,3.91e-06,0.195,0.49,159.852,Alternative
114,1,225148,False,3Kkjo3cT83cw09VJyrLNwX,False,True,Oh My God,83,5,track,album,30,2021,0.534,0.725,1,-3.906,1,0.046,0.091,0.0,0.0264,0.55,88.098,Alternative
119,1,168839,False,6IRdLKIyS4p7XNiP8r6rsx,False,True,all the good girls go to hell,76,5,track,album,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019,0.726,0.444,8,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044,Alternative
120,1,188440,True,0ZfEeIu7CNHQhbCTiVv3cx,False,True,2all,54,3,track,album,The Balance,2019,0.396,0.778,7,-3.99,0,0.0718,0.00246,0.00291,0.0952,0.362,166.846,Alternative
121,1,396190,False,4hqrCpIKaOkye5jTQ6r83A,False,True,Lay Your Head On Me (feat. Marcus Mumford) [Jacques Lu Cont Vocal Mix],50,1,track,single,Lay Your Head On Me (feat. Marcus Mumford) [Jacques Lu Cont Vocal Mix],2020,0.733,0.702,2,-7.498,1,0.037,0.00835,0.506,0.066,0.654,125.997,Alternative
122,1,181706,False,4zB544yCIaSw3cuHltMCRJ,False,True,The End of the Game,42,1,track,single,The End of the Game,2019,0.574,0.865,8,-4.028,1,0.041,0.00121,2.92e-06,0.108,0.669,119.068,Alternative
123,1,161120,False,78bsqObGFUD5ntweePBhIY,False,True,Van Horn,57,3,track,album,The Original Motion Picture Soundtrack,2021,0.642,0.806,8,-4.568,1,0.0421,0.00281,2.17e-05,0.186,0.43,124.514,Alternative
124,1,191066,False,6KWcq5p0wsz97N3eoRUSH6,False,True,I Really Wish I Hated You,61,9,track,album,NINE,2019,0.615,0.81,1,-6.137,0,0.0506,0.0358,0.0,0.289,0.728,143.054,Alternative
125,1,264213,False,5wCVLW9qMtIY9IkBeyYnh6,False,True,When Am I Gonna Lose You,65,2,track,album,Violet Street,2019,0.452,0.834,11,-4.657,1,0.0967,0.0417,0.00036,0.119,0.514,142.088,Alternative
126,1,199111,False,0mL82sxCRjrs3br407IdJh,False,True,Is There Someone Else?,83,10,track,album,Dawn FM,2022,0.702,0.586,9,-7.83,0,0.0313,0.0388,7.27e-05,0.156,0.608,134.951,Alternative
127,1,392600,False,5LyRtsQLhcXmy50VXhQXXS,False,True,Holy Wars...The Punishment Due - Remastered,69,1,track,album,Rust In Peace (Expanded Edition),1990,0.325,0.985,11,-3.941,1,0.151,0.00177,0.107,0.351,0.221,125.307,Alternative
128,1,201083,True,2nC3QhMI9reBIOWutbU3Tj,False,True,Moral of the Story,77,1,track,single,Moral of the Story,2019,0.572,0.406,10,-8.624,1,0.0427,0.587,4.48e-06,0.102,0.265,119.812,Alternative
129,1,205484,True,2Y0wPrPQBrGhoLn14xRYCG,False,True,Come & Go (with Marshmello),81,12,track,album,Legends Never Die,2020,0.625,0.814,0,-5.181,1,0.0657,0.0172,0.0,0.158,0.535,144.991,Alternative
130,1,208466,False,3iX0BMs9dX9CsgrHhiB173,False,True,Until You Come Back to Me (That's What I'm Gonna Do),54,5,track,album,Let Me In Your Life,1974,0.664,0.634,2,-6.348,1,0.0349,0.683,3.34e-05,0.221,0.666,93.914,Alternative
131,1,319370,False,1C5utO1I8FoSIn6g1R5DAZ,False,True,If You’re Too Shy (Let Me Know),63,16,track,album,Notes On A Conditional Form,2020,0.64,0.628,2,-6.091,1,0.0324,0.0157,0.0382,0.0916,0.235,125.648,Alternative
132,1,298977,False,0JFTb0IuSJFSCGmVL3imL1,False,True,Beautiful Anyway,45,1,track,single,Beautiful Anyway,2020,0.282,0.829,2,-5.301,1,0.0418,0.000995,3.97e-05,0.115,0.278,144.221,Alternative
133,1,224703,True,0rxQm3nLcecMGkpqDTH77K,False,True,Blind Leading the Blind,45,1,track,single,Blind Leading the Blind,2019,0.548,0.811,9,-6.092,1,0.0677,0.11,0.03,0.251,0.239,104.138,Alternative
142,1,216213,False,12rhvKDK2FfHTZZ1sSAHDG,False,True,Cringe,64,2,track,album,Bank On The Funeral,2019,0.729,0.474,5,-7.724,1,0.0553,0.0652,0.0,0.0758,0.443,126.047,Alternative
143,1,216120,False,5BkGp7FLUUpKgWl29jBK0J,False,True,Gloria,63,3,track,album,III,2019,0.523,0.714,11,-6.021,1,0.0367,0.658,5.2e-06,0.0785,0.659,78.211,Alternative
