,disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Genre
341,1,222696,False,42YQlRLrPdejQsdiLAs4uP,False,True,What Could've Been,53,3,track,album,Canyons,2020,0.589,0.54,10,-7.475,1,0.0304,0.177,0.0,0.132,0.408,143.991,Country
342,1,228706,False,5lH14PEjAXYuMTz0Dd4L1D,False,True,Stick That In Your Country Song,55,1,track,single,Stick That In Your Country Song,2020,0.536,0.863,0,-5.081,0,0.0362,0.0658,0.172,0.118,0.405,89.979,Country
347,1,252040,True,1bzM1cd6oqFozdr4wK6HdR,False,True,Blessings,64,2,track,album,Dark Sky Paradise,2015,0.79,0.621,1,-7.634,1,0.275,0.333,0.0,0.122,0.15,118.895,Country
348,1,208506,False,3cFWIhrapYb2VoNOUbo9Re,False,True,Her World or Mine,58,6,track,album,Amos,2018,0.568,0.499,4,-6.597,1,0.0288,0.635,0.0,0.122,0.243,143.761,Country
353,1,216489,False,5UMjPT47GpOwkUo6e99R3s,False,True,No I in Beer,49,1,track,single,No I in Beer,2020,0.498,0.901,9,-4.372,1,0.0459,0.00626,9.46e-06,0.337,0.809,83.999,Country
354,1,195586,False,4Yy1VOdLAX7MuKQOcivV4O,False,True,To Hell & Back,59,11,track,album,GIRL,2019,0.463,0.71,0,-7.051,1,0.0859,0.148,0.000192,0.123,0.441,78.144,Country
363,2,185280,False,075qcpR3BnxD5CWUIx1HTr,False,True,This Bar,73,7,track,album,Dangerous: The Double Album,2021,0.553,0.884,2,-5.306,1,0.0771,0.0921,0.00033,0.0463,0.248,110.074,Country
364,1,196266,False,5xI2WO75cIHhGX55MlaIgU,False,True,Some People Do,57,12,track,album,Old Dominion,2019,0.632,0.227,9,-9.459,1,0.0378,0.856,0.0,0.101,0.323,112.81,Country
365,1,316556,False,0gOz9JUXsaKVzLTSmFDtdo,False,True,A Soulmate Who Wasn’t Meant to Be,71,9,track,album,"Do You Love Me, or Are You Just Lonely?",2019,0.571,0.0274,9,-20.274,0,0.0649,0.948,6.43e-06,0.322,0.087,124.209,Country
370,1,293706,False,0mKnuxVkPi5h0kuvZl44VM,False,True,Cover Me Up,78,13,track,album,Dangerous: The Double Album,2021,0.549,0.44,7,-8.192,1,0.0264,0.232,7.37e-06,0.107,0.214,128.01,Country
